"id","slug","scheme_name","description","states","level","scheme_for","close_date","tags","created_at"
458,"akjy","Atal Kisan Jyoti Yojana","The scheme aims to provide affordable electricity to farmers in Madhya Pradesh by offering power supply at concessional rates.","[""Madhya Pradesh""]","State","Individual","None","[""Agriculture"", ""Farmer"", ""Agricultural Pump""]","2026-03-11 22:54:28.095726+05:30"
459,"bty","Balram Talab Yojana","The scheme aims to conserve rainwater in fields to help farmers, ensuring water availability during irrigation and drought conditions. Farmers receive subsidies up to ₹1,00,000/- for pond construction.","[""Madhya Pradesh""]","State","Individual","None","[""Farmer"", ""Irrigation"", ""Subsidy"", ""Water"", ""Construction""]","2026-03-11 22:54:28.095729+05:30"
460,"apccap","Aromatic Plants Cultivation - Centre for Aromatic Plants","The scheme aims to encourage farmers to grow aromatic plants by providing them with free seeds, planting materials, and technical support, helping them increase their income and promote aromatic farming in Uttarakhand.","[""Uttarakhand""]","State","Individual","None","[""Aromatic"", ""Farmer"", ""Aromatic Plants"", ""Cultivation""]","2026-03-11 22:54:29.471302+05:30"
461,"des-g","Dairy Equipment Scheme","The scheme aims to help Goan dairy farmers purchase essential equipment by offering a 75% subsidy on approved dairy machinery, promoting efficiency and productivity in dairy farming.","[""Goa""]","State","Individual","None","[""Farmer"", ""Dairy"", ""Subsidy"", ""Equipment"", ""Livestock"", ""Agriculture"", ""Machinery""]","2026-03-11 22:54:29.471317+05:30"
462,"kccsf-cmfps","Kisan Credit Card Scheme for Fisheries- Chief Minister Fishermen Prosperity Scheme","The scheme aims to provide short-term loans for fisheries. It offers zero-percent interest working capital to the fish farmers through cooperative banks.","[""Madhya Pradesh""]","State","Individual","None","[""Credit Card"", ""Loan"", ""Fishermen"", ""Fish Farmer""]","2026-03-11 22:54:29.471321+05:30"
463,"dp-f","Teelu Rauteli Pension Scheme","The scheme aims to provide a monthly pension of ₹1,200/- to male and female individuals above 18 years of age who have incurred a partial disability of 20% to 40% while performing agricultural activities.","[""Uttarakhand""]","State","Individual","None","[""Pension"", ""Agricultural Activities"", ""Disability"", ""PwD""]","2026-03-11 22:54:29.471325+05:30"
464,"trainsugarfarmers","Training Programme for Sugarcane Farmers","The scheme aims to enhance the knowledge and skills of sugarcane farmers by providing free training and information on advanced and modern sugarcane cultivation techniques.","[""Uttarakhand""]","State","Individual","None","[""Sugarcane Cultivation"", ""Training"", ""Sugarcane Farmer"", ""Sugarcane""]","2026-03-11 22:54:29.471329+05:30"
465,"sedpy","Silage evam Dudharu Pashu Poshan Yojana","The scheme aims to improve the nutrition of dairy animals and enhance milk production by providing subsidized silage and feed to members of milk cooperative societies. ","[""Uttarakhand""]","State","Individual","None","[""Silage"", ""Milk"", ""Cooperative Society"", ""Milch Animals"", ""Dairy"", ""Animal Nutrition""]","2026-03-11 22:54:29.471333+05:30"
466,"dmpy","Dugdh Mulya Protsahan Yojana","The scheme aims to encourage milk production and ensure fair remuneration to cattle farmers by providing financial incentives based on the quality of milk supplied to cooperative societies.","[""Uttarakhand""]","State","Individual","None","[""Financial Assistance"", ""Milk"", ""Cooperative Society"", ""Milk Production"", ""Cattle""]","2026-03-11 22:54:29.471337+05:30"
467,"ffds","Fish Farming Diversification (Scheduled Caste / Scheduled Tribe) Scheme","The scheme aims to promote economic empowerment and livelihood diversification among Scheduled Caste and Scheduled Tribe communities through fisheries-based activities.","[""Uttarakhand""]","State","Individual","None","[""Subsidy"", ""Scheduled Caste"", ""Scheduled Tribe"", ""Fish Farmer"", ""Fish Farming"", ""Poultry Farming""]","2026-03-11 22:54:29.471341+05:30"
468,"kk","Silkworm Rearing Chamber","The scheme aims to promote sericulture & enhance silk production among farmers by providing financial assistance for establishing dedicated silkworm rearing chambers. Under this scheme, farmers are provided financial support of upto ₹1,00,000 (80:10:10 pattern) for construction of rearing chambers.","[""Uttarakhand""]","State","Individual","None","[""Rearing Chamber"", ""Silk"", ""Silkworm Rearing"", ""Silkworm"", ""Sericulture""]","2026-03-11 22:54:29.471345+05:30"
469,"rv","Silk Tree Plantation","The scheme aims to promote mulberry cultivation and silkworm rearing among farmers in Uttarakhand by providing financial assistance, technical support, and organized cluster-based sericulture activities to enhance their income and livelihood.","[""Uttarakhand""]","State","Individual","None","[""Sericulture"", ""Silk Tree Plantation"", ""Farmer"", ""Silkworms"", ""Silk""]","2026-03-11 22:54:29.471348+05:30"
470,"ku","Silkworm Rearing Equipment","The scheme aims to support individuals in silkworm rearing by providing necessary equipment, financial assistance, and technical guidance. Under this scheme, financial assistance of upto ₹40,000/- is provided to individuals for procuring essential equipment required for silkworm rearing.","[""Uttarakhand""]","State","Individual","None","[""Silk"", ""Rearing Equipment"", ""Silkworm"", ""Sericulture""]","2026-03-11 22:54:30.701326+05:30"
471,"mebvy","Mukhyamantri Ekeekrit Bagwani Vikas Yojana","The scheme aims to promote horticulture development in Uttarakhand by providing farmers with subsidized fruit plants, seeds, pesticides, & horticulture infrastructure such as Cool Houses & Refrigerator Vans, thereby increasing productivity, reducing post-harvest losses, & enhancing farmers’ income.","[""Uttarakhand""]","State","Individual","None","[""Horticulture"", ""Horticulture Development"", ""Farmer"", ""Subsidy""]","2026-03-11 22:54:30.701343+05:30"
472,"fabofpak","Financial Assistance to Boat owner / Fishermen Captured by Pakistan Marine Security Agency (PMSA)","The scheme aims to help the families of the fishermen affected due to captured by Pakistani Marine Security Agency. Under this scheme, daily assistance, repatriation allowances, and vessel reconstruction subsidies are provided.","[""Dadra & Nagar Haveli and Daman & Diu""]","State","Individual","None","[""Financial Assistance"", ""Fisherman"", ""Boat Owner"", ""PMSA"", ""Subsidy"", ""Fishing Vessels""]","2026-03-11 22:54:30.701348+05:30"
473,"prtwp","Payment Related to Wheat Procurement","The scheme aims to ensure timely online payment to farmers for wheat sold at government procurement centers through the Just-In-Time (JIT) system directly into their bank accounts.","[""Madhya Pradesh""]","State","Individual","None","[""Farmer"", ""Financial Assistance"", ""Wheat"", ""Price""]","2026-03-11 22:54:30.701352+05:30"
474,"dsf","Development Scheme for Fisheries","The scheme aims to strengthen fisheries infrastructure in Daman & Diu. Through this scheme, back-ended subsidies and insurance support are provided to fishermen, boat owners, co-operative societies, and entrepreneurs.","[""Dadra & Nagar Haveli and Daman & Diu""]","State","Individual","None","[""Fish Preservation"", ""Subsidies"", ""Insurance Support"", ""Fishermen"", ""Boat Owners"", ""Co-Operative Societies"", ""Entrepreneurs""]","2026-03-11 22:54:30.701357+05:30"
475,"pmvky","Pradhan Mantri Vanbandhu Kalyan Yojana","The scheme provides comprehensive support through six key components, including integrated village development under Pradhan Mantri Adi Adarsh Gram Yojana, development of Particularly Vulnerable Tribal Groups, support to Tribal Research Institutes, and Pre-Matric and Post-Matric Scholarships.","[""All""]","Central","Individual","None","[""Tribal"", ""Student"", ""Scholarship"", ""Village"", ""Livelihood"", ""Research""]","2026-03-11 22:54:30.701361+05:30"
476,"mgfs","Meghalaya Goat Farming Scheme","The Meghalaya Goat Farming Development Scheme is a component of the Chief Minister’s CM-ELEVATE Program, launched by the Govt of Meghalaya. It aims to employ, engage, and empower youth and rural communities by promoting goat farming entrepreneurship, providing easy access to credit and subsidies.","[""Meghalaya""]","State","Individual","None","[""Goat"", ""Farming"", ""Animal Husbandry"", ""Farmer"", ""EMI""]","2026-03-11 22:54:30.701365+05:30"
477,"mpfs","Meghalaya Poultry Farming Scheme","The Meghalaya Poultry Farming Scheme is a component under the Chief Minister’s CM-ELEVATE Program launched  by the Government of Meghalaya. It aims to employ, engage, and empower the youth and rural communities by  promoting poultry entrepreneurship through easy access to credit and subsidies. ","[""Meghalaya""]","State","Individual","None","[""Poultry"", ""Farming"", ""Farmer"", ""Bank Loan""]","2026-03-11 22:54:30.701369+05:30"
478,"pobahad","Planning for Best Livestock Keeper's Award Function","The ""Planning for Best Livestock Keeper's Award Function"" scheme by the Agriculture, Farmers Welfare and Cooperation Department honors outstanding pastoralists in Gujarat by awarding them at Taluka, District, and State levels for their excellence in animal husbandry.

","[""Gujarat""]","State","Individual","None","[""Agriculture"", ""Animal Husbandry"", ""Award"", ""Financial Assistance""]","2026-03-11 22:54:30.701374+05:30"
479,"afcmac","Assistance for Cultivation of Medicinal/ Aromatic Crops","The scheme provides financial assistance up to 75% of the cost or ₹11,250/- per hectare (whichever is lower) to farmers in Gujarat cultivating medicinal or aromatic crops on land between 0.20 and 4 hectares.

","[""Gujarat""]","State","Individual","None","[""Agriculture"", ""Medicinal Crops"", ""Aromatic Crops""]","2026-03-11 22:54:30.701378+05:30"
480,"tshsdfl","Trainning Scheme for Horticulture Skill Development to Landless farm labour at Centre of Excelence of Department","The ""Training Scheme for Horticulture Skill Development to Landless Farm Labour at Centre of Excellence of Department"" aims to provide skill development training in horticulture to landless farm labourers through the Centres of Excellence.","[""Gujarat""]","State","Individual","None","[""Horticulture Training"", ""Skill Development"", ""Farmer""]","2026-03-11 22:54:32.286877+05:30"
481,"kcc","Kisan Credit Card","The Kisan Credit Card (KCC) scheme was introduced in 1998 for issue of Kisan Credit Cards to farmers on the basis of their holdings for uniform adoption by the banks so that farmers may use them to readily purchase agriculture inputs and draw cash for their production needs. ","[""All""]","Central","Individual","None","[""Kisan"", ""Credit Card""]","2026-03-11 22:54:32.286888+05:30"
482,"ae","Agricultural Extension","Extension Division endeavours towards successful implementation of Agricultural Extension activities. Through its various programmes, schemes and activities, Extension Division helps farmers to get information regarding scientific research and new knowledge in agricultural practices.","[""All""]","Central","Individual","None","[""Agricultural"", ""Extension""]","2026-03-11 22:54:32.286891+05:30"
483,"pmfby","Pradhan Mantri Fasal Bima Yojna (PMFBY)","Pradhan Mantri Fasal Bima Yojana was launched in  2016 with the aim to support farmers by providing an affordable comprehensive risk cover for crops.","[""All""]","Central","Individual","None","[""Crop"", ""Farmer"", ""Insurance"", ""Agriculture"", ""Premium""]","2026-03-11 22:54:32.286894+05:30"
484,"kapy","Krushy Aranya Protsaha Yojane (kapy)","The Karnataka Forest Department launched 'Krushi Aranya Protsaha Yojane (KAPY)' in 2011-12 to encourage farmers and the public to increase forest and tree cover by providing subsidized seedlings and monetary incentives for planting","[""Karnataka""]","State","Individual","None","[""Subsidy"", ""Farmers"", ""Tree Plantation"", ""Three-year Nurturing"", ""Pahani""]","2026-03-11 22:54:32.286896+05:30"
485,"mmksy","Mukhya Mantri Mahila Kisan Sashaktikaran Yojana","Mukhya Mantri Mahila Kisan Sashaktikaran Yojana (MMKSY) is a scheme launched by the Government of Gujarat to empower women farmers in the state. The scheme was announced in the 2018-19 budget and is being implemented by the Department of Agriculture and Co-operation. ","[""Gujarat""]","State","Individual","None","[""Mukhya Mantri"", ""Mahila"", ""Kisan"", ""Sashaktikaran Yojana""]","2026-03-11 22:54:32.286898+05:30"
486,"stl","Soil Testing Laboratory","Agriculture and Farmers' Welfare Department launched the ""Soil Testing Laboratory"" scheme for the farmer on 01 April 2013.","[""Meghalaya""]","State","Individual","None","[""Farmers"", ""Agriculture"", ""Soil Health""]","2026-03-11 22:54:32.2869+05:30"
487,"ffes","Feed And Fodder Entrepreneurship Scheme","It was launched by Union Government in 2014, and focused on supporting farmers in producing fodder from non-forest wasteland/grassland and cultivating coarse grains","[""Mizoram""]","State","Individual","None","[""Fodder Value Addition"", ""Total Mixed Ration"", ""Storage Facilities"", ""Farmers Scientist Interaction"", ""Fodder Block Making""]","2026-03-11 22:54:32.286902+05:30"
488,"pss","Price Support Scheme","The Government's price policy for agricultural commodities seeks to ensure remunerative prices to the growers for their produce with a view to encourage higher investment and production and to safeguard the interest of consumers by making available supplies at reasonable prices.","[""Assam""]","State","Individual","None","[""Farmer"", ""Agriculture"", ""Seeds"", ""DBT"", ""Financial Assistance""]","2026-03-11 22:54:32.286904+05:30"
489,"ssegu10gcp","Subsidy Scheme For Establishment Of Goat Unit (10+1) For General Category People","The scheme “Subsidy Scheme for Establishment of Goat Unit (10+1) for General Category People” was launched by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat to uplift Economically poor livestock breeders of Gujarat State.","[""Gujarat""]","State","Individual","None","[""General Category"", ""Goat"", ""Subsidy"", ""Milk Production"", ""Employment""]","2026-03-11 22:54:32.286906+05:30"
490,"sse25rbusc","Subsidy Scheme On Establishment Of 25 R.I.R. Birds’ Unit For Scheduled Caste","The scheme “Subsidy Scheme on Establishment of 25 R.I.R. Birds’ unit for Scheduled Caste” was launched by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat to provide employment, nutritious diet and to raise the income of Schedule Caste People of the society.","[""Gujarat""]","State","Individual","None","[""Poultry Farming"", ""Rhode Island Red"", ""Subsidy"", ""Scheduled Caste""]","2026-03-11 22:54:33.417085+05:30"
491,"spara","Sardar Patel Agriculture Research Award","The scheme “Sardar Patel Agriculture Research Award” was launched by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat on 30.10.1995. ","[""Gujarat""]","State","Individual","None","[""Agriculture"", ""Farmer"", ""Research"", ""Honour"", ""Award""]","2026-03-11 22:54:33.417101+05:30"
492,"asdtpwff","Agricultural Skill Development Training Programme For Women Farmers And Farmers","The scheme “Agricultural Skill Development Training Programme for Women Farmers and Farmers” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat.","[""Gujarat""]","State","Individual","None","[""Agriculture"", ""Farmer"", ""Women"", ""Training"", ""Skill Development"", ""Youth""]","2026-03-11 22:54:33.417104+05:30"
493,"bsyrj","Beej Swalamban Yojna","Mukhyamantri Beej Swavalamban Yojana was started in the year 2017-18 with the objective of producing quality improved seeds on their farms for their own use by the farmers.","[""Rajasthan""]","State","Individual","None","[""Seeds"", ""Agriculture"", ""Farmers"", ""Farming Assistance""]","2026-03-11 22:54:33.417107+05:30"
494,"zbnf","Zero Budget Natural Farming","The Rajasthan State government started a scheme ""Zero Budget Natual Farming"" in 2020-21 to promote  natural farming. ","[""Rajasthan""]","State","Individual","None","[""Low Cost Fartming"", ""Agriculture"", ""Farmer"", ""Training""]","2026-03-11 22:54:33.417111+05:30"
495,"ksych","Kisan Samriddhi Yojana - Chhattisgarh","Chhattisgarh State Government started a scheme ""Kisan Samriddhi Yojana"" for farmer.","[""Chhattisgarh""]","State","Individual","None","[""Financial Assistance"", ""Farmers"", ""Agriculture"", ""Pump Installation""]","2026-03-11 22:54:33.417113+05:30"
496,"nmnf","National Mission on Natural Farming","To motivate farmers to adopt chemical free farming and enhance the reach of natural farming, the Government has formulated National Mission on Natural Farming (NMNF) as a separate and independent scheme from 2023-24 by up scaling the Bhartiya Prakritik Krishi Paddati (BPKP).","[""All""]","Central","Individual","None","[""Natural Farming"", ""Agro Ecology"", ""Chemical-free Farming""]","2026-03-11 22:54:33.417116+05:30"
497,"fapbnia","Financial Assistance for Purchase of Barrier Net and its Accessories","“Financial Assistance for Purchase of Barrier Net and its Accessories” is a scheme by Dept. of Fisheries, Govt. of Goa. Under this Scheme financial assistance is provided as a subsidy on the purchase of barrier nets and accessories for the fishermen. The applications are accepted offline.","[""Goa""]","State","Individual","None","[""Fishermen"", ""Fish"", ""Subsidy"", ""Financial Assistance""]","2026-03-11 22:54:33.417119+05:30"
498,"fafwaf","Financial Assistance to Fresh Water Aquaculture Farms","“Financial Assistance to Fresh Water Aquaculture Farms” is a scheme by the Dept. of Fisheries, Govt. of Goa. Through this scheme, financial assistance is provided to eligible fishermen for the construction and renovation of the Farm, for the purchase of farming equipment, and the purchase of feed.","[""Goa""]","State","Individual","None","[""Fishermen"", ""Fish"", ""Aquaculture"", ""Subsidy"", ""Equipment"", ""Shrimp""]","2026-03-11 22:54:34.746334+05:30"
499,"fatuvas","Financial Assistance to Take up Value Addition to Seafood","Through this scheme, individuals who have been residents of Goa for the last 15 years, and are interested in setting up a unit for value-added fisheries products are provided financial assistance as a subsidy of 50% of the cost for the Construction or Renovation of the Unit/ Purchase of Equipment.","[""Goa""]","State","Individual","None","[""Subsidy"", ""Financial Assistance"", ""Fisheries"", ""Construction"", ""Equipment""]","2026-03-11 22:54:34.746345+05:30"
500,"gvatbshsdocfvs","Goa Value Added Tax-Based Subsidy on H.S.D. Oil Consumed by Fishing Vessels Scheme","“Goa Value Added Tax-Based Subsidy on H.S.D. Oil Consumed by Fishing Vessels Scheme” is a scheme by the Department of Fisheries, Govt. of Goa. Through this scheme, the amount equivalent to the actual VAT paid shall be reimbursed to the owner as a subsidy on H.S.D. Oil consumed by the fishing vessel.","[""Goa""]","State","Individual","None","[""Fish"", ""Fishermen"", ""Subsidy"", ""Financial Assistance""]","2026-03-11 22:54:34.746348+05:30"
501,"ncrfs","Natural Calamity Relief to Fishermen of State","“Natural Calamity Relief to Fishermen of State” is a scheme by the Dept of Fisheries, Govt of Goa. Through this scheme, financial assistance is provided to the active fishermen who contribute to the Fishermen Corpus Relief Fund, whose fishing vessels are damaged or lost due to natural calamities.","[""Goa""]","State","Individual","None","[""Fishermen"", ""Disaster"", ""Crisis"", ""Financial Assistance"", ""Relief""]","2026-03-11 22:54:34.74635+05:30"
502,"islaaa","Interest Subsidy on Loans for Agriculture and Allied Activities","“Interest Subsidy on Loans for Agriculture and Allied Activities” is a scheme by the Dept. of Fisheries, Govt. of Goa. The bonafide agriculturist, individual of the animal husbandry/fisheries sector from Goa are provided a loan of upto ₹ 5,00,000 for the purpose of Agriculture and Allied Activities.","[""Goa""]","State","Individual","None","[""Fisheries"", ""Animal Husbandry"", ""Loan"", ""Agriculture"", ""Subsidy""]","2026-03-11 22:54:34.746352+05:30"
503,"rsesthsdo-faascdmf","Reimbursement/ Spot Exemption of Sales Tax on High-Speed Diesel Oil","The scheme ""Reimbursement/ Spot Exemption of Sales Tax on High-Speed Diesel Oil"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries"" introduced to reimburse the sales tax on high-speed diesel oil used by the registered mechanized boat operators.","[""Puducherry""]","State","Individual","None","[""Reimbursement"", ""Exemption"", ""Tax"", ""Diesel"", ""Oil"", ""Fisherman"", ""Fish""]","2026-03-11 22:54:34.746354+05:30"
504,"agfst","Assistance to General Farmers for Sinking Tubewell","“Assistance to General Farmers for Sinking Tubewell"" was launched by the Dept of Agriculture and Farmer's Welfare, UT of Puducherry. Through this scheme, the farmers from the General Category are provided with a grant of 65% subsidy towards the construction of tubewell/filter point per individual.","[""Puducherry""]","State","Individual","None","[""Tubewell"", ""Subsidy"", ""Farmer"", ""Agriculture""]","2026-03-11 22:54:34.746356+05:30"
505,"ascfst","Assistance to Scheduled Caste Farmers for Sinking Tubewell","“Assistance to Scheduled Caste Farmers for Sinking Tubewell"" was launched by Dept of Agriculture and Farmer's Welfare, UT of Puducherry. Through this scheme, the farmers from the SC Category are provided with a grant of 90% subsidy towards the construction of tubewell/filter points per individual.","[""Puducherry""]","State","Individual","None","[""Tubewell"", ""Subsidy"", ""Farmer"", ""Agriculture"", ""Scheduled Caste""]","2026-03-11 22:54:34.746358+05:30"
506,"vds","Vegetable Development Scheme","The objective of the scheme is to promote vegetable production through HYV Seeds/ Hybrids/ Improved/ Open Pollinated seedlings, including assistance to farmers.","[""Meghalaya""]","State","Individual","None","[""Agriculture"", ""Farmer"", ""Vegetable Production"", ""Subsidy"", ""Vegetable Seed"", ""Poly House""]","2026-03-11 22:54:34.74636+05:30"
507,"pps","Plant Protection Scheme","The objective of the scheme is to control pests and diseases including weeds and rodents of horticultural crops by the distribution of bio-pesticides/Bio-agents and equipment at 50% subsidy.","[""Meghalaya""]","State","Individual","None","[""Plant Protection"", ""Bio-pesticides"", ""Bio-agents"", ""Subsidy"", ""Farmer"", ""Agriculture"", ""Horticulture""]","2026-03-11 22:54:36.132642+05:30"
508,"dsc","Development of Strawberry Cultivation","The objective of the scheme is to provide farmers with quality and improved varieties of strawberry planting materials so as to encourage area expansion under this crop such that commercialization horticulture under this crop is achieved.","[""Meghalaya""]","State","Individual","None","[""Strawberry Cultivation"", ""Horticulture"", ""Farmer"", ""Agriculture""]","2026-03-11 22:54:36.132653+05:30"
509,"aispmis","Assistance for Installation of Sprinkler / Drip Micro Irrigation Systems","Through this scheme, the Marginal Farmers, Small farmers, Scheduled Caste/ Schedule Tribe Farmers, Women Farmers, Big Farmers and Institutions are provided with a subsidy on the total cost or ₹ 25,000/‐ per hectare whichever is less for the installation of Sprinkler / Drip Micro Irrigation Systems.","[""Puducherry""]","State","Individual","None","[""Irrigation"", ""Farmer"", ""Agriculture"", ""Subsidy"", ""Crop""]","2026-03-11 22:54:36.132656+05:30"
510,"rctpm","Regional Centre for Training and Production of Mushroom","The objective of the scheme is to train farmers in the method of mushroom cultivation and to supply quality spawn and pasteurized compost to farmers.","[""Meghalaya""]","State","Individual","None","[""Agriculture"", ""Farmer"", ""Mushroom Production"", ""Financial Assistance"", ""Training""]","2026-03-11 22:54:36.132658+05:30"
511,"fpc","Fruit Processing Centre","The objective of scheme is to disseminate technical knowhow to youth entrepreneurs, farmers & housewives through practical demonstration on importance of fruit preservation & to manufacture quality processed fruit products such as Squashes, Jams, Jelly & Juices under trade name ‘Meg Fruits Product'.","[""Meghalaya""]","State","Individual","None","[""Horticulture"", ""Farmer"", ""Youth Entrepreneur"", ""Training"", ""Demonstration"", ""Fruit Processing"", ""Vegetable Processing""]","2026-03-11 22:54:36.13266+05:30"
512,"hmneh","Horticulture Mission for North Eastern Hill Scheme- Meghalaya","The objective of the scheme is to improve productivity, quality planting material, canopy management of fruit trees, support marginal and small farmers, upscaling protected cultivation, and drip irrigation.","[""Meghalaya""]","State","Individual","None","[""Horticulture"", ""North Eastern Hill"", ""Integrated Development"", ""Mission"", ""Farmer""]","2026-03-11 22:54:36.132662+05:30"
513,"midhhmneh-meghalaya","Mission for Integrated Development of Horticulture Sub Scheme Horticulture Mission for North East and Himalayan Region- Meghalaya","The scheme is implemented by the Department of Agriculture & Farmers’ Welfare, Government of Meghalaya to promote holistic growth of Horticulture sector thorough promotion, extension, post-harvest management, processing and marketing.","[""Meghalaya""]","State","Individual","None","[""Mission"", ""Integrated Development"", ""Horticulture"", ""Agriculture"", ""Farmer"", ""Horticulture""]","2026-03-11 22:54:36.132664+05:30"
514,"scfc-cpt","""Subsidy for Cultivation of Fodder Crops"" Component of the ""Crop Production Technology"" Scheme","The ""Subsidy for Cultivation of Fodder Crops"" scheme was introduced by the Department of Agriculture and Farmer's Welfare, Union Territory of Puducherry. Through this scheme, cash incentives are distributed to Farmers and Self Help Groups for undertaking fodder cultivation in the Puducherry region.","[""Puducherry""]","State","Individual","None","[""Subsidy"", ""Cultivation"", ""Fodder"", ""Farmer"", ""Agriculture""]","2026-03-11 22:54:36.132666+05:30"
515,"pibeschc","Production Incentive / Back-Ended Subsidy for Cultivation of Horticulture Crops","Through this scheme, the farmers who possess farmer's identity cards / authenticated land records/documents are provided with One-Time Assistance/ Bi‐Annual Assistance/ Annual Assistance for the Cultivation of Horticulture Crops such as Mango, Guava, and Sapota.","[""Puducherry""]","State","Individual","None","[""Subsidy"", ""Horticulture"", ""Crop"", ""Incentive"", ""Farmer""]","2026-03-11 22:54:36.132668+05:30"
516,"srmiqc","Soil Resource Management and Inputs Quality Control","Through the scheme “Soil Resource Management and Inputs Quality Control"", the farmers can give their soil and water samples to the soil testing lab for analysis and recommendation at completely free of cost.","[""Puducherry""]","State","Individual","None","[""Soil"", ""Quality"", ""Sample"", ""Testing"", ""Lab""]","2026-03-11 22:54:36.13267+05:30"
517,"aems","Agriculture Engineering (Mechanical) Scheme","The objective of the scheme is to provide agricultural machinery such as power tillers/ bulldozers/ tractors etc. on hiring at subsidised rate.","[""Meghalaya""]","State","Individual","None","[""Agriculture"", ""Engineering"", ""Mechanical"", ""Agricultural Machinery"", ""Farmer"", ""Subsidy""]","2026-03-11 22:54:37.509628+05:30"
518,"batcs","Basic Agriculture Training Centre Scheme","The objective of the scheme is to provide short-term vocational training for rural educated unemployed youths in agriculture and allied sectors to develop entrepreneurship skills and employment generation.","[""Meghalaya""]","State","Individual","None","[""Agriculture"", ""Training Centre"", ""Vocational Training"", ""Unemployed Youth"", ""Entrepreneurship Skills"", ""Employment"", ""Farmer""]","2026-03-11 22:54:37.509644+05:30"
519,"kkt","Kantedar Tarbandi Yojana","A initiative of Rajasthan State for the farmer to protect crops from damage caused by Nilgai and stray animals. Financial assistance will be provided to the farmers by the Rajasthan government for fencing their fields. ","[""Rajasthan""]","State","Individual","None","[""Farming"", ""Financial Benefits"", ""Taarabandi""]","2026-03-11 22:54:37.509649+05:30"
520,"ifmws","Integrated Farming in Micro Watershed Scheme","The objective of the scheme is to promote integrated farming activities for improved livelihood in a complementary manner.","[""Meghalaya""]","State","Individual","None","[""Agriculture"", ""Farmer"", ""Watershed"", ""Training"", ""Technology Support"", ""Subsidy""]","2026-03-11 22:54:37.509653+05:30"
521,"spk","Sinchai Pipeline Karyakram","In ""Sinchai Pipeline Karyakram"" Rajasthan government will provide subsidies to farmers on purchasing irrigation pipelines. So that farmers can get rid of the problem of irrigation. And their income can increase.","[""Rajasthan""]","State","Individual","None","[""Pipe Line"", ""Agriculture"", ""Irrigation"", ""Development""]","2026-03-11 22:54:37.509656+05:30"
522,"dsr","Drip Sanyantr","Under the Drip Sanyantr scheme, the government gives subsidies to farmers. There is an immense saving of water in this method. Under this method, water is applied drop by drop to the roots of the plants and wastage of water will negligible.","[""Rajasthan""]","State","Individual","None","[""Farmer"", ""Drip Sanyantr"", ""Farming"", ""Agriculture""]","2026-03-11 22:54:37.50966+05:30"
523,"fsr","Fawara Sanyantra","Under the Fawara Sanyantra Through this scheme, the government will provide subsidies to farmers to install sprinkler plants. This will save water and farmers will also be able to irrigate their fields through sprinklers.","[""Rajasthan""]","State","Individual","None","[""Farming"", ""Agriculture"", ""Development"", ""Fountain Plant""]","2026-03-11 22:54:37.509663+05:30"
524,"kt","Khet Talai","Under the Khet Talai scheme, the Rajasthan Government gives subsidies to the farmers on the construction of farm ponds so that the farmers can collect rainwater and irrigate their fields by making farm ponds in their fields.","[""Rajasthan""]","State","Individual","None","[""Farming"", ""Farmer"", ""Khet Talai"", ""Development""]","2026-03-11 22:54:37.509667+05:30"
525,"rgkssy","Rajiv Gandhi Krishak Sathi Sahayta Yojana","The Rajiv Gandhi Krishak Sathi Sahayta Yojana offers financial support to farmers, farmworkers, and market laborers who are accidentally injured or killed while working in agriculture or at agricultural markets.","[""Rajasthan""]","State","Individual","None","[""Farmer"", ""Accident"", ""Financial Support""]","2026-03-11 22:54:37.50967+05:30"
526,"pm","Plastic Mulching","Under the Plastic Mulching scheme, the Rajasthan government provided subsidies to farmers. In this, the soil surface of the field is covered with plastic film. Farmer can also use crop residues for laying mulch.","[""Rajasthan""]","State","Individual","None","[""Farmer"", ""Plastic Mulching"", ""Farming"", ""Agriculture""]","2026-03-11 22:54:37.509674+05:30"
527,"fmuifdsgc","Fodder Minikits under Integrated Fodder Development Scheme (General Category)","The scheme “Fodder Minikits under Integrated Fodder Development Scheme” is implemented by the Directorate of Animal Husbandry, Government of Gujarat to provide an improved variety of fodder seeds to beneficiaries for widespread publicity, demonstration, and adaptation by farmers.","[""Gujarat""]","State","Individual","None","[""Fodder Minikits"", ""Farmer"", ""Seed""]","2026-03-11 22:54:38.789047+05:30"
528,"pby","Pashu Bima Yojana","The scheme 'Pashu Bima Yojna' was launched by the Directorate of Dairy Development, Government of Bihar. The scheme aims to provide insurance security to farmers against the financial loss caused by cattle death and to improve the rural economy. ","[""Bihar""]","State","Individual","None","[""Farmer"", ""Insurance"", ""Disease"", ""Animal"", ""Premium""]","2026-03-11 22:54:38.789058+05:30"
